"signalname","rbar","vol","ndate","tstat","tabs"
"IO_ShortInterest",2.21666983520962,12.103340978802,276,3.04263799253641,3.04263799253641
"iomom_cust",0.713291772270384,4.36586739425147,239,2.52578060680757,2.52578060680757
"iomom_supp",0.600230549406887,4.00060485295142,238,2.31462647667211,2.31462647667211
"Leverage",0.35799487200467,2.57258794152457,360,2.64032766675641,2.64032766675641
"LRreversal",0.78667641942553,6.59188119245731,648,3.03790552700289,3.03790552700289
"MaxRet",0.885247136337729,7.42386567071129,528,2.74000519832856,2.74000519832856
"MeanRankRevGrowth",0.552529347101494,2.33115303486319,276,3.93766809038786,3.93766809038786
"Mom12m",1.36835479848785,5.27438877917511,312,4.58251481508231,4.58251481508231
"Mom12mOffSeason",1.23089816591041,6.83512728457504,456,3.84554536895485,3.84554536895485
"Mom6m",1.03692863174776,4.97705855647933,312,3.68004740435396,3.68004740435396
"Mom6mJunk",1.57733700190562,7.22570975613976,228,3.29618365943771,3.29618365943771
"MomOffSeason",1.30746454352397,5.66335631443588,456,4.92990391841603,4.92990391841603
"MomOffSeason06YrPlus",0.585438233999675,2.86990950417229,456,4.35607452225106,4.35607452225106
"MomOffSeason11YrPlus",0.242388611429816,2.55011694960289,456,2.02971253694099,2.02971253694099
"MomOffSeason16YrPlus",0.353127771787588,2.9650370217542,456,2.54322143344496,2.54322143344496
"MomRev",1.19358652810599,5.73715737893596,444,4.38377877879537,4.38377877879537
"MomSeason",0.818090546721036,2.98049449511464,456,5.86132052845923,5.86132052845923
"MomSeason06YrPlus",0.744859236270424,2.57768816381896,456,6.1705837533311,6.1705837533311
"MomSeason11YrPlus",0.749177216694829,2.30413835823089,456,6.94318007311968,6.94318007311968
"MomSeason16YrPlus",0.585251152782179,2.47630939999243,456,5.04684297960987,5.04684297960987
"MomSeasonShort",1.35955740016674,3.36641963472949,456,8.62405898537068,8.62405898537068
"MomVol",1.59025451268224,6.07760562775329,372,5.04667794546247,5.04667794546247
"MRreversal",0.393407051181475,4.53679374236652,576,2.0811546137053,2.0811546137053
"MS",1.33543026761039,4.16749523919471,288,5.43803936224217,5.43803936224217
"NetDebtFinance",0.746610941457288,1.79365883850274,342,7.69781662514656,7.69781662514656
"NetDebtPrice",0.552001210002812,3.06121063800242,462,3.87585752001696,3.87585752001696
"NetEquityFinance",1.06414665217612,3.64530386150853,342,5.39859565054671,5.39859565054671
"NetPayoutYield",0.868762288475938,5.24687587136159,240,2.56510880575278,2.56510880575278
"NOA",1.07294396244708,3.09064737102605,468,7.51018283464312,7.51018283464312
"NumEarnIncrease",0.516270866282796,1.26980492746248,276,6.754530250822,6.754530250822
"OperProf",0.718688245407508,4.30851553409809,324,3.00251636902666,3.00251636902666
"OperProfRD",0.33133720029817,4.31019979673118,618,1.91102792705658,1.91102792705658
"OPLeverage",0.349604423799444,3.28508315086657,552,2.50034588884504,2.50034588884504
"OptionVolume1",0.679327554409259,4.44272602709996,178,2.04004477547067,2.04004477547067
"OptionVolume2",0.534013248568157,3.96062629940613,177,1.79380321472837,1.79380321472837
"OrderBacklog",0.506538082968268,2.2284406185456,228,3.43224641459442,3.43224641459442
"OrderBacklogChg",0.376462245395337,2.74221971892389,330,2.49388342453349,2.49388342453349
"OrgCap",0.371439298712714,2.95231142786311,468,2.72175236919452,2.72175236919452
"OScore",1.01346063590677,4.00808654809559,180,3.39239212608988,3.39239212608988
"PatentsRD",0.302799396612506,1.69535191315337,318,3.18499463197267,3.18499463197267
"PayoutYield",0.431453702262436,2.94688280801417,240,2.26817707033013,2.26817707033013
"PctAcc",0.457461595771278,2.01749867142565,240,3.51274807174895,3.51274807174895
"PctTotAcc",0.495023309773766,1.6313981054979,240,4.70079505003014,4.70079505003014
"PredictedFE",0.300522224557899,3.53023870630497,126,0.955559633459242,0.955559633459242
"Price",1.42175527155534,10.1625898271016,480,3.06507473678031,3.06507473678031
"PriceDelayRsq",0.48463508157608,3.85259867458429,456,2.6862318796939,2.6862318796939
"PriceDelaySlope",0.171815595141338,1.82141718048022,456,2.01435297075625,2.01435297075625
"PriceDelayTstat",0.151870018909113,2.12211349383989,456,1.52821993803544,1.52821993803544
"ProbInformedTrading",1.29775654154072,3.99752549054203,179,4.34338673284427,4.34338673284427
"PS",0.916424225430513,4.42824519670746,252,3.28522539500783,3.28522539500783
"RD",1.00958338493763,2.75487219238845,252,5.81756185649816,5.81756185649816
"RDAbility",0.26549366940627,3.36322831444495,360,1.49778359573213,1.49778359573213
"RDcap",0.463766900023544,3.63692519684034,330,2.31644690459101,2.31644690459101
"RDIPO",0.968144214420912,4.51747632095476,192,2.96957832080275,2.96957832080275
"RDS",0.494598583252164,2.36994690181464,336,3.82546198758378,3.82546198758378
"realestate",0.283308549090486,3.18946494986433,420,1.82039859333092,1.82039859333092
"ResidualMomentum",0.954503112193556,3.56593792046603,955,8.27189963347585,8.27189963347585
"retConglomerate",1.32148732440602,4.04779905909029,396,6.49668260150807,6.49668260150807
"ReturnSkew",0.40851455881324,1.8998889851401,600,5.26689837889046,5.26689837889046
"ReturnSkew3F",0.287939725493408,1.48085798045767,600,4.76281597184577,4.76281597184577
"REV6",1.29382087141071,3.29419414461755,192,5.44221351091392,5.44221351091392
"RevenueSurprise",0.752879712844278,1.79469542897963,204,5.99169808733082,5.99169808733082
"RIO_Disp",0.624009692079016,4.06814954418151,288,2.60309890776532,2.60309890776532
"RIO_MB",0.89634971047654,4.06844181078392,288,3.73891521955685,3.73891521955685
"RIO_Turnover",0.646781647907995,3.94225254460008,288,2.78425809006601,2.78425809006601
"RIO_Volatility",1.00792848272157,4.0782899349419,288,4.19418771957601,4.19418771957601
"roaq",1.69179976304892,5.4375287891534,360,5.90335147117527,5.90335147117527
"RoE",0.319820881630779,1.52153309557274,180,2.8200815376197,2.8200815376197
"sfe",0.813472541705726,4.455850875216,204,2.60751811398745,2.60751811398745
"ShareIss1Y",0.618797517428433,2.51583627965033,408,4.96816794770385,4.96816794770385
"ShareIss5Y",0.519522306989612,2.50166946915671,432,4.31634494867812,4.31634494867812
"ShareRepurchase",0.318612015384724,0.913261231385533,132,4.00824346729469,4.00824346729469
"ShareVol",0.9058219779512,4.44127237909588,360,3.86978373825531,3.86978373825531
"ShortInterest",0.827454950618428,2.29540673170862,216,5.29799547807275,5.29799547807275
"sinAlgo",0.21285152474304,2.86610442929097,670,1.92230438497609,1.92230438497609
"Size",0.497259405589961,4.58905996593958,594,2.64090328175883,2.64090328175883
"skew1",0.545426653331553,2.43331156663602,119,2.44518721828487,2.44518721828487
"SmileSlope",1.78003298864364,2.54835217194292,119,7.6197739235011,7.6197739235011
"SP",0.71382511656515,3.11264318090697,156,2.86434143913465,2.86434143913465
"Spinoff",0.400367640667701,3.06554563327948,288,2.21639635523623,2.21639635523623
"std_turn",0.798072335599606,4.42494462651152,360,3.42204460992949,3.42204460992949
"STreversal",2.93971686882395,5.33772833555989,648,14.0196296389166,14.0196296389166
"SurpriseRD",0.288245131598322,1.76265343005608,336,2.99753794303125,2.99753794303125
"tang",0.706151264753614,3.59418398665363,348,3.66511037811809,3.66511037811809
"Tax",0.445484127644732,2.32032180611437,336,3.51927862842785,3.51927862842785
"TotalAccruals",0.280702107439454,2.33850992516035,480,2.62982636130202,2.62982636130202
"UpRecomm",0.610855222504529,0.92579487272021,49,4.61871920392886,4.61871920392886
"VarCF",-0.558690555475907,3.9250644822286,180,-1.90968082092031,1.90968082092031
"VolMkt",0.448097859040711,3.78859438497925,180,1.58683222045577,1.58683222045577
"VolSD",0.384602847151907,2.58482076010887,360,2.82314582973499,2.82314582973499
"VolumeTrend",0.543810040824616,2.49080787180229,180,2.92916101293091,2.92916101293091
"XFIN",1.14252729606471,4.36341994326254,342,4.84231040391418,4.84231040391418
"zerotrade",0.491122683462951,4.295549153704,528,2.62717051658555,2.62717051658555
"zerotradeAlt1",0.638019665542372,3.86262759244724,528,3.79549293915677,3.79549293915677
"zerotradeAlt12",0.395184110824553,3.25202220191218,528,2.79230551404381,2.79230551404381
